14-11-2024 17:51:50.117: Logging Start
14-11-2024 17:51:50.120: N1@Connected to 10.78.31.:9200
14-11-2024 17:51:50.121: N2@Connected to 10.78.31.:9200
14-11-2024 17:51:50.121: N3@Connected to 10.78.31.:9200
14-11-2024 17:51:51.122: N1@Sent: AT!RP0
14-11-2024 17:51:51.123: N2@Sent: AT!RP0
14-11-2024 17:51:51.123: N3@Sent: AT!RP0
14-11-2024 17:51:51.126: N2@Received: AT!RP:2:OK
14-11-2024 17:51:51.127: N3@Received: AT!RP:2:OK
14-11-2024 17:51:51.127: N1@Received: AT!RP:2:OK
14-11-2024 17:51:52.124: N1@Sent: AT@ZU0
14-11-2024 17:51:52.124: N2@Sent: AT@ZU0
14-11-2024 17:51:52.124: N3@Sent: AT@ZU0
14-11-2024 17:51:52.127: N1@Received: AT@ZU:2:OK
14-11-2024 17:51:52.134: N3@Received: AT@ZU:2:OK
14-11-2024 17:51:52.134: N2@Received: AT@ZU:2:OK
14-11-2024 17:51:53.125: N1@Sent: AT*SENDIM,3,2,noack,1-1
14-11-2024 17:51:53.142: N1@Received: AT*SENDIM:2:OK
14-11-2024 17:51:53.644: N2@Received: AT:44:RECVIM,3,1,2,noack,172032,-81,120,0.1000,1-1
14-11-2024 17:51:54.645: N2@Sent: AT*SENDIM,3,3,noack,1-1
14-11-2024 17:51:54.652: N2@Received: AT*SENDIM:2:OK
14-11-2024 17:51:55.154: N3@Received: AT:44:RECVIM,3,2,3,noack,172032,-81,120,0.1000,1-1
14-11-2024 17:52:04.137: N1@Sent: AT*SENDIM,3,2,noack,1-1
14-11-2024 17:52:04.140: N1@Received: AT*SENDIM:2:OK
14-11-2024 17:52:04.641: N2@Received: AT:44:RECVIM,3,1,2,noack,172032,-81,120,0.1000,1-1
14-11-2024 17:52:05.643: N2@Sent: AT*SENDIM,3,3,noack,1-1
14-11-2024 17:52:05.653: N2@Received: AT*SENDIM:2:OK
14-11-2024 17:52:06.156: N3@Received: AT:44:RECVIM,3,2,3,noack,172032,-81,120,0.1000,1-1
14-11-2024 17:52:15.148: N1@Sent: AT*SENDIM,3,2,noack,1-1
14-11-2024 17:52:15.156: N1@Received: AT*SENDIM:2:OK
14-11-2024 17:52:15.657: N2@Received: AT:44:RECVIM,3,1,2,noack,172032,-81,120,0.1000,1-1
14-11-2024 17:52:16.658: N2@Sent: AT*SENDIM,3,3,noack,1-1
14-11-2024 17:52:16.672: N2@Received: AT*SENDIM:2:OK
14-11-2024 17:52:17.164: N3@Received: AT:44:RECVIM,3,2,3,noack,172032,-81,120,0.1000,1-1
14-11-2024 17:52:26.160: N1@Sent: AT*SENDIM,3,2,noack,1-1
14-11-2024 17:52:26.164: N1@Received: AT*SENDIM:2:OK
14-11-2024 17:52:26.666: N2@Received: AT:44:RECVIM,3,1,2,noack,172032,-81,120,0.1000,1-1
14-11-2024 17:52:27.667: N2@Sent: AT*SENDIM,3,3,noack,1-1
14-11-2024 17:52:27.670: N2@Received: AT*SENDIM:2:OK
14-11-2024 17:52:28.173: N3@Received: AT:44:RECVIM,3,2,3,noack,172032,-81,120,0.1000,1-1
14-11-2024 17:52:37.171: N1@Sent: AT*SENDIM,3,2,noack,1-1
14-11-2024 17:52:37.182: N1@Received: AT*SENDIM:2:OK
14-11-2024 17:52:37.676: N2@Received: AT:44:RECVIM,3,1,2,noack,172032,-81,120,0.1000,1-1
14-11-2024 17:52:38.678: N2@Sent: AT*SENDIM,3,3,noack,1-1
14-11-2024 17:52:38.680: N2@Received: AT*SENDIM:2:OK
14-11-2024 17:52:39.183: N3@Received: AT:44:RECVIM,3,2,3,noack,172032,-81,120,0.1000,1-1
